09-14 20:32:47.742 21801  4840 I wDSP_SpectrumEngine: POWER32 -105 -104 -86 -91 -68 -66 -57 -51 -51 -46 -54 -48 -33 -25 -28 -31 -33 -30 -30 -36 -36 -32 -33 -33 -32 -33 -32 -34 -36 -34 -35 -38 
09-14 20:32:47.742 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:47.742 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:47.743 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=2927 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:48.752 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -65 -64 -63 -57 -49 -44 -44 -34 -33 -36 -51 -40 -31 -26 -29 -32 -34 -30 -30 -31 -32 -33 -34 -37 -34 -32 -31 -30 -29 -27 -25 -27 
09-14 20:32:48.756 21801  4840 I wDSP_SpectrumEngine: POWER32 -95 -94 -94 -92 -74 -70 -58 -52 -52 -48 -56 -44 -34 -27 -28 -33 -35 -31 -34 -31 -32 -33 -33 -30 -31 -30 -33 -34 -36 -35 -35 -38 
09-14 20:32:48.757 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:48.757 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:48.757 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=3025 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:49.762 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -57 -56 -55 -56 -48 -45 -40 -31 -35 -39 -51 -38 -31 -26 -25 -32 -34 -30 -32 -32 -32 -33 -33 -37 -34 -33 -31 -30 -29 -28 -25 -27 
09-14 20:32:49.766 21801  4840 I wDSP_SpectrumEngine: POWER32 -94 -93 -95 -83 -70 -66 -63 -53 -56 -48 -58 -40 -31 -27 -25 -32 -36 -30 -33 -34 -33 -33 -32 -31 -31 -32 -35 -34 -34 -37 -33 -37 
09-14 20:32:49.766 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:49.767 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
09-14 20:32:49.767 21801  4840 I wDSP_SpectrumEngine: NATIVE frames=3119 discontinuities=0 latencyMs=145.0 agcMain=true (forced: mic mode) agcBar=true
09-14 20:32:50.777 21801  4840 I wDSP_SpectrumEngine: NATIVE32 -59 -58 -53 -53 -44 -46 -38 -35 -38 -37 -55 -41 -32 -27 -27 -31 -34 -30 -30 -29 -32 -32 -34 -36 -34 -33 -31 -30 -28 -27 -25 -27 
09-14 20:32:50.782 21801  4840 I wDSP_SpectrumEngine: POWER32 -90 -89 -83 -81 -65 -65 -56 -58 -52 -47 -61 -41 -34 -28 -26 -31 -36 -31 -28 -33 -31 -32 -37 -34 -31 -32 -31 -34 -35 -34 -36 -39 
09-14 20:32:50.782 21801  4840 I wDSP_SpectrumEngine: FLOOR32 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 -120 
09-14 20:32:50.782 21801  4840 I wDSP_SpectrumEngine: CURVE32 29.9 29.9 27.3 24.7 21.7 18.7 17.5 16.2 12.5 8.9 4.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.8 -1.5 -3.3 -5.0 -3.0 -1.0 1.3 3.5 5.3 7.0 8.5 10.0 
